accident_index,longitude,latitude,cluster
2020160926289,-0.202563,54.087164,2
2020160926452,-0.206537,54.09606,2
2020160926486,-0.348939,53.757114,3
2020160926579,-0.02338,53.55715,5
2020160926683,-0.378099,53.812111,3
2020160926759,-0.311699,53.784362,3
2020160926762,-0.107568,53.557063,5
2020160926774,-0.455029,54.108647,2
2020160926984,-0.457088,53.906988,3
2020160927000,-0.2866,53.614461,3
2020160927001,-0.364096,53.74337,3
2020160927027,-0.671458,53.52146,4
2020160927377,-0.635651,53.562712,4
2020160927430,-0.451456,53.796927,3
2020160927455,-0.307634,53.774112,3
2020160927463,-0.097904,53.571896,5
2020160927687,-0.097206,53.575004,5
2020160927768,-0.05824,53.56573,5
2020160927937,-0.218161,54.094596,2
2020160927950,-0.649219,53.570471,4
2020160928034,-0.352437,53.638199,3
2020160928063,-0.041106,53.558736,5
2020160928113,-0.455566,53.904091,3
2020160928123,-0.358968,53.762124,3
2020160928202,-0.653959,53.586219,4
2020160928226,-0.67908,53.770258,1
2020160928247,-0.060474,53.563753,5
2020160928272,-0.806313,53.62051,4
2020160928288,-0.395307,53.777097,3
2020160928507,-0.312685,53.791963,3
2020160928543,-0.079494,53.553559,5
2020160928838,-0.425837,53.838859,3
2020160929197,-0.07578,53.557554,5
2020160929229,-0.125941,53.570414,5
2020160929238,-0.326648,53.764958,3
2020160929247,-0.343666,53.748492,3
2020160929252,-0.855926,53.548608,4
2020160929284,-0.295058,53.754166,3
2020160929329,-0.662011,53.594364,4
2020160929439,-0.091982,53.566228,5
2020160929454,-0.87981,53.705992,1
2020160929483,-0.373578,53.754242,3
2020160929631,-0.374776,53.729115,3
2020160929646,-0.434453,53.720577,3
2020160929719,-0.665973,53.558731,4
2020160929771,-0.256801,53.762309,3
2020160930068,-0.360679,53.768826,3
2020160930107,-0.63259,53.565869,4
2020160930177,-0.173224,53.593942,5
2020160930198,-0.604488,53.456614,4
2020160930269,-0.435599,53.73012,3
2020160930422,-0.035756,53.560824,5
2020160930471,-0.55788,53.567949,4
2020160930472,-0.598952,53.762481,4
2020160930497,-0.494868,54.018818,2
2020160930596,-0.197249,54.079597,2
2020160930609,-0.0461,53.568329,5
2020160930862,-0.331667,53.747427,3
2020160930924,-0.616004,53.566972,4
2020160931064,-0.099672,53.550654,5
2020160931102,-0.627612,53.569425,4
2020160931119,-0.353685,53.768416,3
2020160931129,-0.132312,53.763571,5
2020160931142,-0.307901,53.912672,2
2020160931334,-0.359943,53.751503,3
2020160931392,-0.462854,53.722239,3
2020160931535,-0.348807,53.748887,3
2020160931671,-0.377446,53.989354,2
2020160931699,-0.065336,53.574026,5
2020160931953,-0.071752,53.517314,5
2020160932091,-0.615137,53.566243,4
2020160932224,-0.322964,53.743575,3
2020160932324,-0.423282,53.72791,3
2020160932396,-0.348216,53.753517,3
2020160932408,-0.442538,54.110122,2
2020160933167,-0.125291,53.571447,5
2020160933225,-0.654172,53.590959,4
2020160933230,-0.056675,53.571539,5
2020160933281,-0.283573,53.758326,3
2020160933368,-0.066232,53.523239,5
2020160933380,-0.555334,53.515907,4
2020160933383,-0.533235,53.957757,3
2020160933388,-0.916294,53.706399,1
2020160933393,-0.461028,54.108175,2
2020160933472,-0.321441,53.74412,3
2020160933492,-0.546889,53.557316,4
2020160933501,-0.819198,53.58622,4
2020160933895,-0.65281,53.593407,4
2020160933982,-0.2745,53.751328,3
2020160934117,-0.490904,53.553639,4
2020160934213,-0.297884,53.747285,3
2020160934214,-0.233718,54.078277,2
2020160934349,-0.37354,53.795671,3
2020160934412,-0.178702,53.536116,5
2020160934420,-0.878665,53.725091,1
2020160934421,-0.451139,53.64384,3
2020160934580,-0.076523,53.522866,5
2020160934743,-0.309851,53.746879,3
2020160934801,-0.298432,53.747607,3
2020160935092,-0.443675,53.689164,3
2020160935145,-0.377501,53.744928,3
2020160935170,-0.125436,53.550755,5
2020160935195,-0.954354,53.712957,1
2020160935206,-0.447928,53.664113,3
2020160935294,-0.370008,53.789259,3
2020160935324,-0.841138,53.469956,4
2020160935334,-0.278737,53.769745,3
2020160935350,-0.625801,53.560065,4
2020160935359,-0.352032,53.764528,3
2020160935367,-0.554109,53.494732,4
2020160935383,-0.082359,53.560644,5
2020160935419,-0.204347,53.756087,3
2020160935470,-0.356653,53.750685,3
2020160935710,-0.293866,53.757368,3
2020160935801,-0.31277,53.754255,3
2020160935867,-0.319347,53.780623,3
2020160935905,-0.356687,53.762254,3
2020160936070,-0.661,53.588096,4
2020160936260,-0.816141,53.55667,4
2020160936284,-0.250391,53.610494,5
2020160936569,-0.868692,53.705366,1
2020160936610,-0.395992,53.750364,3
2020160936658,-0.091433,53.546226,5
2020160936668,-0.351973,53.764482,3
2020160936771,-0.094782,53.563414,5
2020160936879,-0.400523,53.744482,3
2020160936897,-0.37449,53.740051,3
2020160936925,-0.36013,53.753708,3
2020160936934,-0.188867,54.085692,2
2020160936971,-0.273181,53.7602,3
2020160936986,-0.891719,53.810289,1
2020160936996,-0.373628,53.754512,3
2020160937032,-0.434787,53.727071,3
2020160937042,-0.644614,53.577538,4
2020160937168,-0.916304,53.849253,1
2020160937217,-0.653609,53.575357,4
2020160937336,-0.814399,53.522828,4
2020160937382,-0.075217,53.521712,5
2020160937421,-0.395881,53.750488,3
2020160937437,-0.6318,53.57724,4
2020160937438,-0.080638,53.498902,5
2020160937462,-0.35966,53.754483,3
2020160937464,-0.968944,53.684482,1
2020160937631,-0.449608,53.66702,3
2020160937686,-0.202758,54.096794,2
2020160937687,-0.862659,53.742558,1
2020160937709,-0.335979,53.82597,3
2020160937728,-0.087026,53.556934,5
2020160937922,-0.327832,53.796652,3
2020160937940,-0.07483,53.521607,5
2020160937977,-0.379882,53.736663,3
2020160938099,-0.196374,53.765874,3
2020160938106,-0.399556,53.729619,3
2020160938117,-0.349504,53.760106,3
2020160938245,-0.382806,53.790026,3
2020160938353,-0.393145,53.744285,3
2020160938360,-0.366934,53.778511,3
2020160938395,-0.285656,53.765269,3
2020160938415,-0.387321,53.73244,3
2020160938528,-0.201936,53.760339,3
2020160938585,-0.06999,53.566675,5
2020160938644,-0.19193,54.093288,2
2020160938664,-0.068088,53.763615,5
2020160938743,-0.878749,53.713389,1
2020160938933,-0.391897,53.731297,3
2020160938953,-0.631503,53.568652,4
2020160938959,-0.327615,53.770787,3
2020160938964,-0.322888,53.783926,3
2020160939001,-0.337956,53.756369,3
2020160939345,-0.654322,53.580506,4
2020160939410,-0.563073,53.934369,3
2020160939441,-0.642079,53.598697,4
2020160939488,-0.378523,53.812539,3
2020160939584,-0.042547,53.754301,5
2020160939740,-0.663891,53.607104,4
2020160939756,-0.479028,53.723453,3
2020160939792,-0.439238,53.999494,2
2020160939919,-0.368286,53.730339,3
